Categoría,Código,Producto,Valor Mínimo (USD),Disponibilidad
CATERPILLAR,23627,"CATERPILLAR S62 PRO","410.00","Disponible"
UR,24334,"CELULAR CON TECLA UM05 UR 2CHIP","1.00","Disponible"
UR,24327,"CELULAR CON TECLA UM06 UN CHIP","11.00","Disponible"
INFINIX,24938,"INFINIX GT 30PRO 256/12 CON CARG COOL","320.00","Disponible"
INFINIX,9171,"INFINIX HOT50 PRO 256/8 AZUL","135.00","Disponible"
INFINIX,9034,"INFINIX HOT50 PRO 256/8 GRIS","135.00","Disponible"
INFINIX,9188,"INFINIX HOT50 PRO 256/8 NEGRO","135.00","Disponible"
INFINIX,10665,"INFINIX HOT50 PRO+256/8 NEGRO","156.00","Disponible"
INFINIX,23986,"INFINIX HOT601 256/4 NEGRO","102.00","Disponible"
INFINIX,23993,"INFINIX HOT601 256/4 SILVER","102.00","Disponible"
INFINIX,24013,"INFINIX HOT601 256/8 NEGRO","112.00","Disponible"
INFINIX,24006,"INFINIX HOT601 256/8 SILVER","112.00","Disponible"
INFINIX,24945,"INFINIX HOT60 PRO 256/8 NEGRO","155","Disponible"
INFINIX,24952,"INFINIX HOT60 PRO 256/8 SILVER","155","Disponible"
INFINIX,24969,"INFINIX HOT60 PRO 256/8 ROSA","155","Disponible"
INFINIX,22453,"INFINIX NOTE50 PRO 256/8 GRIS","235.00","Disponible"
INFINIX,22460,"INFINIX SMART10 128/4 BLANCO","77.00","Disponible"
INFINIX,22477,"INFINIX SMART10 128/4 DORADO","77,00","Disponible"
INFINIX,11525,"INFINIX SMART9 128/4 DORADO","68.00","Disponible"
INFINIX,11516,"INFINIX SMART9 128/4 NEGRO","68:00","Disponible"
INFINIX,11501,"INFINIX SMART9 128/4 NEO TITANIUM","68.00","Disponible"
INFINIX,11488,"INFINIX SMART9 HD 64/3 NEGRO","65.00","Disponible"
INFINIX,11495,"INFINIX SMART9 HD 64/3 NEO TITANIUM","65.00","Disponible"
IPHONE SWAP,4893,"IPHONE 11 128GB AMERICANO","215","Disponible"
IPHONE SWAP,4893,"IPHONE 11 128GB CHINO","205","Disponible"
IPHONE SWAP,4886,"IPHONE 11 64GB AMERICANO","180","Disponible"
IPHONE SWAP,4886,"IPHONE 11 64GB CHINO","180","Disponible"
IPHONE SWAP,5029,"IPHONE IIPRO 256GB CHINO","EN FALTA","En Falta"
IPHONE SWAP,5005,"IPHONE 11PRO 64GB","230","Disponible"
IPHONE SWAP,10733,"IPHONE 11PROMAX 256GB CHINO","EN FALTA","En Falta"
IPHONE SWAP,,IPHONE 11PROMAX 64GB CHINO,"245","Disponible"
IPHONE SWAP,11853,"IPHONE 12 128GB AMERICANO","235","Disponible"
IPHONE SWAP,11853,"IPHONE 12 128GB CHINO","230","Disponible"
IPHONE SWAP,11358,"IPHONE 12 64GB AMERICANO","215","Disponible"
IPHONE SWAP,5289,"IPHONE 12PRO 128GB","295","Disponible"
IPHONE SWAP,10825,"IPHONE 12PROMAX 128GB","355","Disponible"
IPHONE SWAP,5234,"IPHONE 13 128GB AMERICANO GRADO A+","325","Disponible"
